"AJ_pop","local_nonJ_pop","AJ-AJ_mean","AJ-AJ_N","AJ-AJ_IBD_seg_N","AJ-AJ_IBD_seg_mean_len","AJ-AJ_IBD_seg_median_len","AJ-AJ_IBD_seg_len_skewness","AJ-nonJ_mean","AJ-nonJ_N","AJ-nonJ_IBD_seg_N","AJ-nonJ_IBD_seg_mean_len","AJ-nonJ_IBD_seg_median_len","AJ-nonJ_IBD_seg_len_skewness","nonJ-nonJ_mean","nonJ-nonJ_N","nonJ-nonJ_IBD_seg_N","nonJ-nonJ_IBD_seg_mean_len","nonJ-nonJ_IBD_seg_median_len","nonJ-nonJ_IBD_seg_len_skewness","AJ-AJ_vs_AJ-nonJ_kstest_pval","AJ-AJ_vs_AJ-nonJ_kstest_D","nonJ-nonJ_vs_AJ-nonJ_kstest_pval","nonJ-nonJ_vs_AJ-nonJ_kstest_D"
"GermanyAJ","German",6.57810444444444,315,530,3.90962811320755,3.61525,2.20733025644796,2.71392820512821,78,56,3.78011428571429,3.5303,2.13274041375997,4.97963333333333,3,4,3.734725,3.48005,0.825523173444921,5.35974794018453e-10,0.413186813186813,0.449926759857066,0.371794871794872
"PolandAJ","Polish",5.72359100985222,1624,2354,3.94864562446899,3.584,3.04227654853107,3.45806206896552,290,266,3.77006766917293,3.508,1.97605131215729,6.50142222222222,9,16,3.65705,3.4676,1.595090034834,6.6952281998106e-14,0.248275862068966,0.084467372279702,0.376245210727969
"LithuaniaAJ","Lithuanian",5.6791752688172,372,550,3.84118763636364,3.52775,3.16884390876267,4.25276392857143,280,307,3.87874234527687,3.5342,3.42415836351258,4.94286888888889,45,57,3.9022649122807,3.6337,2.23748779832034,9.92399409412286e-05,0.169854070660522,0.503674941753006,0.094047619047619
"AustriaAJ","German",6.70591,10,17,3.94465294117647,3.3877,1.91097954251856,1.96748666666667,15,7,4.21604285714286,3.9424,0.675515036994442,4.97963333333333,3,4,3.734725,3.48005,0.825523173444921,0.0329312463997368,0.533333333333333,0.449328964117222,0.4
"BelarusAJ","Belarusian",5.07084466019418,103,134,3.89773880597015,3.60305,1.51410202292285,4.13447,150,164,3.78152743902439,3.562,1.29847933817757,6.50436818181818,44,75,3.815896,3.45,2.6086952926122,0.075866780386908,0.145307443365696,0.0146735941481129,0.249090909090909
"UkraineAJ","Ukrainian",5.80690582403965,807,1208,3.87928228476821,3.556,3.10861063897443,4.60725609756098,533,619,3.96715266558966,3.62,3.13714026888545,5.87289358974359,78,118,3.88208220338983,3.4658,1.79096621695886,2.17380049088596e-06,0.142514722259033,0.00144640452846201,0.219199499687305
"RussiaAJ","Russian",4.97016404958678,726,925,3.90090713513514,3.5699,2.96224487795985,3.98927813970322,2763,2839,3.88248520605847,3.5413,2.87913176649998,4.71559886685552,2471,3002,3.88149393737508,3.52705,2.43208913891955,1.58774936612651e-05,0.0980324416806501,2.05686605403855e-07,0.0768231060467913
"HungaryAJ","Hungarian",5.49863243243243,296,414,3.93138937198068,3.53665,3.13457419816391,4.290312,500,554,3.87212274368231,3.5742,2.99006640705335,4.20748842105263,190,214,3.73562056074766,3.4415,1.79418535282559,0.00281361443706135,0.125675675675676,0.718740598464627,0.0346315789473685
"RomaniaAJ","Romanian",5.71578021978022,273,400,3.90102,3.54395,2.60744257268964,4.46462875,240,273,3.92494835164835,3.576,2.0048372166537,5.51763111111111,45,64,3.879584375,3.50875,0.990035245623483,0.00389092504911713,0.14739010989011,0.0877823576163617,0.179166666666667
"NetherlandsAJ","German",7.38741666666667,6,13,3.40957692307692,3.2979,0.398035724116816,2.67755833333333,12,8,4.0163375,3.92395,0.7422859606624,4.97963333333333,3,4,3.734725,3.48005,0.825523173444921,0.135335283236613,0.5,0.586646219510032,0.333333333333333
"LatviaAJ","Latvian",3.8819380952381,21,21,3.8819380952381,3.65,1.12687654433635,3.10165714285714,21,17,3.83145882352941,3.8974,0.332302861617319,3.87033333333333,3,3,3.87033333333333,3.484,0.65122666860903,0.304076431284833,0.238095238095238,0.651439057531056,0.285714285714286
"CzechiaAJ","Czech",6.01912236842105,76,120,3.81211083333333,3.5505,2.0343932366714,4.22059153846154,130,143,3.8369013986014,3.4631,1.58506053012703,4.16855454545455,44,51,3.5964,3.5164,1.73023994797546,0.00518607447086162,0.23421052631579,0.734338292627469,0.0685314685314685
