"country","pop1","pop2","pairwise_mean_len","N_pairs","N_segs","segs_mean_len","P-value"
"Germany","AJ","non-Jew",2.71392820512821,78,56,3.78011428571429,""
"Germany","AJ","AJ",6.57810444444444,315,530,3.90962811320755,"5.35974794018453e-10"
"Germany","non-Jew","non-Jew",4.97963333333333,3,4,3.734725,"0.449926759857066"
"Poland","AJ","non-Jew",3.45806206896552,290,266,3.77006766917293,""
"Poland","AJ","AJ",5.72359100985222,1624,2354,3.94864562446899,"6.6952281998106e-14"
"Poland","non-Jew","non-Jew",6.50142222222222,9,16,3.65705,"0.084467372279702"
"Lithuania","AJ","non-Jew",4.25276392857143,280,307,3.87874234527687,""
"Lithuania","AJ","AJ",5.6791752688172,372,550,3.84118763636364,"9.92399409412286e-05"
"Lithuania","non-Jew","non-Jew",4.94286888888889,45,57,3.9022649122807,"0.503674941753006"
"Austria","AJ","non-Jew",1.96748666666667,15,7,4.21604285714286,""
"Austria","AJ","AJ",6.70591,10,17,3.94465294117647,"0.0329312463997368"
"Austria","non-Jew","non-Jew",4.97963333333333,3,4,3.734725,"0.449328964117222"
"Belarus","AJ","non-Jew",4.13447,150,164,3.78152743902439,""
"Belarus","AJ","AJ",5.07084466019418,103,134,3.89773880597015,"0.075866780386908"
"Belarus","non-Jew","non-Jew",6.50436818181818,44,75,3.815896,"0.0146735941481129"
"Ukraine","AJ","non-Jew",4.60725609756098,533,619,3.96715266558966,""
"Ukraine","AJ","AJ",5.80690582403965,807,1208,3.87928228476821,"2.17380049088596e-06"
"Ukraine","non-Jew","non-Jew",5.87289358974359,78,118,3.88208220338983,"0.00144640452846201"
"Russia","AJ","non-Jew",3.98927813970322,2763,2839,3.88248520605847,""
"Russia","AJ","AJ",4.97016404958678,726,925,3.90090713513514,"1.58774936612651e-05"
"Russia","non-Jew","non-Jew",4.71559886685552,2471,3002,3.88149393737508,"2.05686605403855e-07"
"Hungary","AJ","non-Jew",4.290312,500,554,3.87212274368231,""
"Hungary","AJ","AJ",5.49863243243243,296,414,3.93138937198068,"0.00281361443706135"
"Hungary","non-Jew","non-Jew",4.20748842105263,190,214,3.73562056074766,"0.718740598464627"
"Romania","AJ","non-Jew",4.46462875,240,273,3.92494835164835,""
"Romania","AJ","AJ",5.71578021978022,273,400,3.90102,"0.00389092504911713"
"Romania","non-Jew","non-Jew",5.51763111111111,45,64,3.879584375,"0.0877823576163617"
"Netherlands","AJ","non-Jew",2.67755833333333,12,8,4.0163375,""
"Netherlands","AJ","AJ",7.38741666666667,6,13,3.40957692307692,"0.135335283236613"
"Netherlands","non-Jew","non-Jew",4.97963333333333,3,4,3.734725,"0.586646219510032"
"Latvia","AJ","non-Jew",3.10165714285714,21,17,3.83145882352941,""
"Latvia","AJ","AJ",3.8819380952381,21,21,3.8819380952381,"0.304076431284833"
"Latvia","non-Jew","non-Jew",3.87033333333333,3,3,3.87033333333333,"0.651439057531056"
"Czechia","AJ","non-Jew",4.22059153846154,130,143,3.8369013986014,""
"Czechia","AJ","AJ",6.01912236842105,76,120,3.81211083333333,"0.00518607447086162"
"Czechia","non-Jew","non-Jew",4.16855454545455,44,51,3.5964,"0.734338292627469"
